component	factor	descriptor	salience	weighting
| Contexts	 | Challenge Origin	 | There were ongoing negotiations between the Research Team and the Community	 | 1	 | 1 |
| 	 |   | The Community identified the challenge or issue	 | 0.8	 | 0.95 |
| 	 | 	 | The Community refined the challenge or issue	 | 0.6	 | 0.9 |
| 	 | 	 | The Research Team refined the challenge or issue	 | 0.4	 | 0.84 |
| 	 | 	 | The Research Team identified the challenge or issue	 | 0.2	 | 0.78 |
| 	 | Diversity	 | There are overlaps in identity memberships between the Research Team and the Community	 | 1	 | 1 |
| 	 | 	 | Underrepresented and/or marginalized identities are a part of the Research Team	 | 0.8	 | 0.95 |
| 	 | 	 | The Research Team is diverse in multiple ways and represents a range of identities	 | 0.6	 | 0.9 |
| 	 | 	 | The Community is diverse in multiple ways and represents a range of identities	 | 0.4	 | 0.84 |
| 	 | 	 | Underrepresented and/or marginalized identities are a part of the Community	 | 0.2	 | 0.78 |
| 	 | Resources	 | There were ongoing negotiations between the Research Team and the Community about the commitment of resources	 | 1	 | 1 |
| 	 | 	 | The Research Team contributed resources	 | 0.8	 | 0.95 |
| 	 | 	 | The Community contributed resources	 | 0.6	 | 0.9 |
| 	 | 	 | All resources were provided by the Research Team	 | 0.4	 | 0.84 |
| 	 | 	 | All resources were provided by the Community	 | 0.2	 | 0.78 |
| 	 | Trust	 | Building on a history of trust and collaboration, the Community reached out to the Research Team	 | 1	 | 1 |
| 	 | 	 | Building on a history of trust and collaboration, the Research Team reached out to the Community	 | 0.8	 | 0.95 |
| 	 | 	 | There were ongoing trust-building efforts between the Research Institution and the Community	 | 0.6	 | 0.9 |
| 	 | 	 | Despite a history of mistrust, the Community reached out to the Research Team	 | 0.4	 | 0.84 |
| 	 | 	 | Despite a history of mistrust, the Research Team reached out to the Community	 | 0.2	 | 0.78 |
| Partnership Processes	 | Beneficence	 | There were ongoing discussions to ensure both the Community and the Research Team would benefit	 | 1	 | 1 |
| 	 | 	 | Benefits built upon and strengthened the Community’s cultural capital and wealth and agency	 | 0.8	 | 0.95 |
| 	 | 	 | Benefits aligned with the goals and purposes of the project	 | 0.6	 | 0.9 |
| 	 | 	 | The Community Partners benefitted from the processes	 | 0.4	 | 0.84 |
| 	 | 	 | The Research Team benefitted from the processes	 | 0.2	 | 0.78 |
| 	 | Decision Making	 | Decision making was conducted through clear and understood processes	 | 1	 | 1 |
| 	 | 	 | Decision making processes recognized and supported the community’s cultural capital and agency	 | 0.8	 | 0.95 |
| 	 | 	 | Community Partners contributed to the decision making processes	 | 0.6	 | 0.9 |
| 	 | 	 | The Research Team contributed to the decision making processes	 | 0.4	 | 0.84 |
| 	 | 	 | Decisions were made to align the ongoing work with the goals and purposes of the project	 | 0.2	 | 0.78 |
| 	 | Reflection	 | The Research Team and Community partners engaged in and benefitted from intentional collaborative reflection activities	 | 1	 | 1 |
| 	 | 	 | Community partners engaged in and benefitted from intentional reflection activities	 | 0.8	 | 0.95 |
| 	 | 	 | Strategies and new practices were developed through intentional reflection activities	 | 0.6	 | 0.9 |
| 	 | 	 | Lessons learned for all participants were identified through intentional reflection activities	 | 0.4	 | 0.84 |
| 	 | 	 | The Research Team engaged in and benefitted from intentional reflection activities	 | 0.2	 | 0.78 |
| 	 | Tool Construction	 | The Community contributed to building the tools	 | 1	 | 1 |
| 	 | 	 | Recognized and supported the Community’s cultural wealth and capital and agency	 | 0.8	 | 0.95 |
| 	 | 	 | The Research Team contributed to building the tools	 | 0.6	 | 0.9 |
| 	 | 	 | Made processes more clear and understandable	 | 0.4	 | 0.84 |
| 	 | 	 | Promoted Efficiency	 | 0.2	 | 0.78 |
| Interventions and Research	 | Design and Facilitation	 | The Research Team contributed to the design and facilitation of interventions and research	 | 1	 | 1 |
| 	 | 	 | The Community contributed to the design and facilitation of interventions and research	 | 0.8	 | 0.95 |
| 	 | 	 | The design and facilitation of interventions and research recognized and supported the Community’s cultural wealth and capital and agency	 | 0.6	 | 0.9 |
| 	 | 	 | The design and facilitation of interventions and research provided opportunities to generate new understandings for the discipline(s) and to benefit the Community	 | 0.4	 | 0.84 |
| 	 | 	 | The design and facilitation of interventions and research aligned with the goals and purposes of the project	 | 0.2	 | 0.78 |
| 	 | Duration	 | Multiple Years	 | 1	 | 1 |
| 	 | 	 | A Year or Less	 | 0.8	 | 0.95 |
| 	 | 	 | A Semester or Less	 | 0.6	 | 0.9 |
| 	 | 	 | A Month or Less	 | 0.4	 | 0.84 |
| 	 | 	 | A Week or Less	 | 0.2	 | 0.78 |
| 	 | Frequency	 | At least Monthly	 | 1	 | 1 |
| 	 | 	 | At least Weekly	 | 0.8	 | 0.95 |
| 	 | 	 | More than once	 | 0.6	 | 0.9 |
| 	 | 	 | Daily or more	 | 0.4	 | 0.84 |
| 	 | 	 | Once	 | 0.2	 | 0.78 |
| 	 | Research Questions	 | The Community contributed to the research question or questions to be explored	 | 1	 | 1 |
| 	 | 	 | The Research Team contributed to the research question or questions to be explored	 | 0.8	 | 0.95 |
| 	 | 	 | The research question or questions recognized and supported the Community’s cultural wealth and capital and agency	 | 0.6	 | 0.9 |
| 	 | 	 | The research question or questions provided opportunities to generate new understandings for the discipline(s) of the Research Team and to benefit the Community	 | 0.4	 | 0.84 |
| 	 | 	 | The research question or questions were designed to align with the goals and purposes of the project	 | 0.2	 | 0.78 |
| 	 | Voice	 | Materials and Events utilized Community-Centered Language	 | 1	 | 1 |
| 	 | 	 | Materials and Events were fit specifically for local settings	 | 0.8	 | 0.95 |
| 	 | 	 | Materials and Events were aligned with the goals and purposes of the project	 | 0.6	 | 0.9 |
| 	 | 	 | Materials and Events were culture-centered activities	 | 0.4	 | 0.84 |
| 	 | 	 | Materials and Events utilized Academic Language	 | 0.2	 | 0.78 |
| Engaged Learning	 | Civic Learning	 | Opportunities are offered for meaning-making and making connections between civic learning and real-world contexts	 | 1	 | 1 |
| 	 | 	 | Course and community activities are facilitated to support civic learning	 | 0.8	 | 0.95 |
| 	 | 	 | Civic learning expectations and outcomes are included in the course syllabus	 | 0.6	 | 0.9 |
| 	 | 	 | There is an alignment across the syllabus, the activities, and the assessments to ensure civic learning is assessed throughout the course	 | 0.4	 | 0.84 |
| 	 | 	 | Opportunities are offered for meaning-making and making connections between civic learning and academic work in the course	 | 0.2	 | 0.78 |
| 	 | Integration	 | The Community is included in the decision making around the inclusion of engaged learning in the broader research project	 | 1	 | 1 |
